Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;15:20:57;520;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;FcOffTen;-183.120;-122.080;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;FcGanhoT;10.128;10.113;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;EaAtraso;28880;4800;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;DelayLad;320;450;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;DelayLad;380;425;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;AlF3Dia;10;0;--------;;;
20/out;15:20:57;520;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:27:01;521;CfgParCuba;nildo;VSetPoin;4.24;4.21;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;QuantAlF;1111;1000;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;QuantAlF;1330;1000;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;FcOffTen;-137.340;-122.080;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;FcGanhoT;10.122;10.113;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;DelayLad;300;450;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;DelayLad;400;425;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;AlF3Dia;15;0;--------;;;
20/out;15:20:57;521;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;QuantAlF;1280;1000;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;QuantAlF;1220;1000;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NumTabOp;9;6;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;FcOffTen;-76.300;-122.080;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;FcGanhoT;10.141;10.113;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;DelayLad;280;450;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;DelayLad;420;425;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;AlF3Dia;15;0;--------;;;
20/out;15:20:57;522;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;VSetPoin;4.20;4.24;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;QuantAlF;1220;1000;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;QuantAlF;840;1000;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NumTabOp;1;6;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;FcOffTen;-198.380;-122.080;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;FcGanhoT;10.154;10.113;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;DelayLad;260;450;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;DelayLad;440;425;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;AlF3Dia;20;0;--------;;;
20/out;15:20:57;523;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;VSetPoin;4.26;4.24;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;RuidoRFr;0.062;0.100;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;RuidoRFr;0.120;0.150;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;RuidoRFr;0.150;0.200;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;RuidoRFo;0.200;0.250;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;RuidoRFo;0.250;0.300;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;QuantAlF;1320;1000;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;QuantAlF;1310;1000;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;LimOscil;0.15;0.20;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;LimOscil;0.25;0.35;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HoraRefC;17:00;14:00;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabIncRR;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
