    P R O G R A M A C A O   D E   A D I C A O   D E   A l F 3  - 21/05/2020 07:05
SALA FORNOS 127-KA-3 - Data(s) Base de: 20/05/2020 a           .
   612;  891; 15; 44;  955;  6,5;   0;  9,6;   21
   613;  883; 18; 43;  945;  6,6;   0; 12,9;    4
   614;  783; 16; 42;  958;  6,3;   0;  9,5;   24
   615;  669; 17; 43;  930;  6,2;   0; 15,0;    4
   616;  896; 16; 43;  945;  6,3;   0; 13,9;    4
   617; 2843; 15; 43;  952;  6,5;   0; 11,2;    6
   618; 2685; 17; 40;  951;  6,6;   0; 11,5;    6
   619; 2647; 17; 40;  950;  6,3;   0; 11,8;    6
   620;  490; 18; 40;  963;  6,4;   0;  9,8;    9
   621; 2687; 18; 40;  945;  7,4;   0; 13,3;    6
   622;  459; 17; 40;  959;  7,5;   0; 10,3;    4
   623;  423; 17; 39;  955;  7,9;   0; 10,8;    4
   624;  331; 16; 40;  957;  7,2;   0;  9,3;   16
   625; 3094; 17; 39;  960;  6,4;   0; 10,5;   14
   626;  443; 18; 41;  961;  6,9;   0;  9,2;   19
   627;  577; 17; 42;  946;  7,0;   0; 11,6;    4
   628;  192; 17; 38;  953;  7,8;   0; 11,1;    0
   629;  432; 18; 40;  956;  7,2;   0; 10,7;    4
   630;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   631; 2019; 19; 38;  958;  7,0;   0; 10,5;   14
   632;  464; 17; 41;  967;  6,5;   0;  9,4;   16
   633;  247; 17; 41;  965;  7,1;   0;  9,4;   14
   634;  472; 15; 40;  956;  7,3;   0; 10,9;    4
   635;   65; 19; 38;  969;  7,2;   0;  8,7;   11
   636; 2658; 18; 38;  974;  6,5;   0;  9,8;   20
   637;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   638;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   639;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   640;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   641;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   642;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   643;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   644;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   645;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   646;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   647;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   648;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   649;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   650;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   651;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   652;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   653;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   654;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   655;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   656;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   657;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   658;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   659;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   660;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   661;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   662;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   663;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   664;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   665;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   666;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   667;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   668;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   669;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   670;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   671;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   672;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   673;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   674;    0;  0;  0;    0;  0,0;   0;  0,0;    0
   675;    0;  0;  0;    0;  0,0;   0;  0,0;    0
